"year";"min_spei1";"min_spei3";"mean_spei1";"mean_spei3";"site"
"P800052QURO_clim.54";2014;-1.58213113878261;-2.00719217946835;0.344611045596973;-0.275567181995761;"P800052QURO"
"P800052QURO_clim.55";2015;-1.22257414181497;-1.65474896725283;-0.809431152439373;-1.21358938102252;"P800052QURO"
"P800052QURO_clim.56";2016;-2.2051759326119;-1.29951248921301;-0.688321083477581;-0.531744004665835;"P800052QURO"
"P800052QURO_clim.57";2017;-1.70767704248092;-1.63692899503361;-0.257893598018726;-0.977899969495238;"P800052QURO"
"P800052QURO_clim.58";2018;-2.09243523805169;-2.25302319660767;-1.09782946032675;-1.77238066761989;"P800052QURO"
"P800052QURO_clim.59";2019;-1.13656820403852;-1.24267173982777;-0.0824621169475235;-0.346456781225661;"P800052QURO"
"P800052QURO_clim.60";2020;-0.980557554846028;-1.01580194437394;0.431275665701026;0.254623545870532;"P800052QURO"
"P800057FASY_clim.1";1961;-1.13158671760793;-0.982552051028044;0.210817609363609;0.40247500159678;"P800057FASY"
"P800057FASY_clim.2";1962;-1.23902432852172;-1.16973766155246;-0.164533065090686;0.317150513292533;"P800057FASY"
"P800057FASY_clim.3";1963;-1.49770803940584;-0.591094180415288;0.0301283812069469;-0.179784008889708;"P800057FASY"
"P800057FASY_clim.4";1964;-1.38592353268895;-0.51393149047965;-0.0643838598270842;-0.0315675064938385;"P800057FASY"
"P800057FASY_clim.5";1965;0.038774108765769;0.658247608949077;0.731470823481839;1.22626436663661;"P800057FASY"
"P800057FASY_clim.6";1966;-0.683798657750296;-0.656781280644638;0.444429302050866;0.704914600933692;"P800057FASY"
"P800057FASY_clim.7";1967;-0.601485695457645;-0.75132179494096;-0.0340309449089617;-0.406377154076632;"P800057FASY"
"P800057FASY_clim.8";1968;-1.29955329006658;-1.22620713596282;-0.266538761357697;-0.579197359695894;"P800057FASY"
"P800057FASY_clim.9";1969;-1.51714860071132;-1.3803663193127;-0.197617831049068;0.0350978685423024;"P800057FASY"
"P800057FASY_clim.10";1970;-1.07560382549665;-0.0604083450213344;0.223066831086577;0.845041557131955;"P800057FASY"
"P800057FASY_clim.11";1971;-1.26935603405418;-1.49550944833431;-0.364762072116492;-0.614207237716772;"P800057FASY"
"P800057FASY_clim.12";1972;-0.0586639720411285;0.366071149207177;0.852960840468527;1.13741497338361;"P800057FASY"
"P800057FASY_clim.13";1973;-0.888693221916328;-1.08991958920661;-0.326850236454359;-0.648586966493637;"P800057FASY"
"P800057FASY_clim.14";1974;-0.812419658484597;-2.05914740786732;0.00936312528460575;-0.286423240803248;"P800057FASY"
"P800057FASY_clim.15";1975;-0.408198769464019;-0.887557064304204;0.160999129680704;0.110488201474452;"P800057FASY"
"P800057FASY_clim.16";1976;-1.6685041911601;-1.68388517104453;-0.489992773503228;-1.26222670974868;"P800057FASY"
"P800057FASY_clim.17";1977;-0.271427680248461;-0.410172731699303;0.360060296059741;0.433187683981351;"P800057FASY"
"P800057FASY_clim.18";1978;-0.0954314380598648;-0.669860260550338;0.147152266256508;-0.0182030997868646;"P800057FASY"
"P800057FASY_clim.19";1979;-1.75744693194751;-0.0959058075345539;0.409085754269298;0.595250176893112;"P800057FASY"
"P800057FASY_clim.20";1980;-0.565157789483863;0.607075791722402;0.390324263989023;0.880160224973562;"P800057FASY"
"P800057FASY_clim.21";1981;-1.11865707130593;-0.899773916023955;-0.0820617614437646;-0.153005472132154;"P800057FASY"
"P800057FASY_clim.22";1982;-1.14436979614666;-1.12344663534996;-0.054793250606223;-0.216669714245801;"P800057FASY"
"P800057FASY_clim.23";1983;-1.60398448207619;-1.999148577117;-0.558671850676037;-0.818076500343217;"P800057FASY"
"P800057FASY_clim.24";1984;-0.670992078907776;-0.077729124329731;0.428813142108543;0.512693923323779;"P800057FASY"
"P800057FASY_clim.25";1985;-0.696871514205002;0.666926314114648;0.41128199061635;0.867024175511421;"P800057FASY"
"P800057FASY_clim.26";1986;-1.17489909478285;-0.859136694881411;0.0310978638056277;0.111368243304905;"P800057FASY"
"P800057FASY_clim.27";1987;-0.424884760549401;0.114494017106589;0.5960815777617;1.01379048848774;"P800057FASY"
"P800057FASY_clim.28";1988;-1.33625309558075;-1.25964074635082;-0.351159899070413;-0.526050662612315;"P800057FASY"
"P800057FASY_clim.29";1989;-0.580840566266357;-0.591980804968921;0.27234662825848;0.0780425690735387;"P800057FASY"
"P800057FASY_clim.30";1990;-1.16804717247209;-1.24193428489258;-0.154070671152042;-0.504846375110661;"P800057FASY"
"P800057FASY_clim.31";1991;-1.00706731154212;-1.32421778171834;0.15205124003094;0.0452351875884568;"P800057FASY"
"P800057FASY_clim.32";1992;-1.90364283820913;-2.18495645012176;-1.14027302063791;-1.19180981121055;"P800057FASY"
"P800057FASY_clim.33";1993;-1.23559251165164;-1.72680808793051;-0.51691784687226;-0.940970286107746;"P800057FASY"
